timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,,
1.76336E+12,6,/roller/roller_j_security_check-338-0,302,Found,User1 2-3,,TRUE,,259,637,5,5,http://172.26.129.146:8080/roller/roller_j_security_check,6,0,0,,,,,,
1.76336E+12,32,/roller/roller_j_security_check-338-1,200,OK,User1 2-3,text,TRUE,,6294,584,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,32,0,0,,,,,,
1.76336E+12,39,/roller/roller_j_security_check-338,200,OK,User1 2-4,text,TRUE,,6553,1221,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,6,0,0,,,,,,
1.76336E+12,6,/roller/roller_j_security_check-338-0,302,Found,User1 2-4,,TRUE,,259,637,5,5,http://172.26.129.146:8080/roller/roller_j_security_check,6,0,0,,,,,,
1.76336E+12,32,/roller/roller_j_security_check-338-1,200,OK,User1 2-4,text,TRUE,,6294,584,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,32,0,0,,,,,,
1.76336E+12,32,/roller/roller-ui/menu.rol-343,200,OK,User1 2-2,text,TRUE,,6284,1001,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,,
1.76336E+12,5,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-2,,TRUE,,170,500,5,5,http://172.26.129.146:8080/roller/roller-ui/menu.rol,5,0,0,,,,,,
1.76336E+12,27,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-2,text,TRUE,,6114,501,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,27,0,0,,,,,,
1.76336E+12,37,/roller/-353,200,OK,User1 2-1,text,TRUE,,6552,471,6,6,http://172.26.129.146:8080/roller/,37,0,0,,,,,,
1.76336E+12,24,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-5,text,TRUE,,6284,951,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,,
1.76336E+12,13,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-5,,TRUE,,170,480,6,6,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,13,0,0,,,,,,
1.76336E+12,11,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-5,text,TRUE,,6114,471,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,,
1.76336E+12,27,/roller/roller-ui/login.rol-340,200,OK,User1 2-4,text,TRUE,,6294,501,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,27,0,0,,,,,,
1.76336E+12,27,/roller/roller-ui/login.rol-340,200,OK,User1 2-3,text,TRUE,,6294,501,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,27,0,0,,,,,,
1.76336E+12,33,/roller/roller-ui/menu.rol-348,200,OK,User1 2-2,text,TRUE,,6284,979,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,26,0,0,,,,,,
1.76336E+12,26,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-2,,TRUE,,170,489,6,6,http://172.26.129.146:8080/roller/roller-ui/menu.rol,26,0,0,,,,,,
1.76336E+12,7,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-2,text,TRUE,,6114,490,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,,
1.76336E+12,22,/roller/roller-ui/menu.rol-343,200,OK,User1 2-3,text,TRUE,,6284,1001,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,,
1.76336E+12,4,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-3,,TRUE,,170,500,6,6,http://172.26.129.146:8080/roller/roller-ui/menu.rol,4,0,0,,,,,,
1.76336E+12,17,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-3,text,TRUE,,6114,501,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,17,0,0,,,,,,
1.76336E+12,35,/roller/roller-ui/menu.rol-343,200,OK,User1 2-4,text,TRUE,,6284,1001,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,,
1.76336E+12,4,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-4,,TRUE,,170,500,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,4,0,0,,,,,,
1.76336E+12,31,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-4,text,TRUE,,6114,501,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,31,0,0,,,,,,
1.76336E+12,44,/roller/roller_j_security_check-338,200,OK,User1 2-5,text,TRUE,,6553,1221,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,35,0,0,,,,,,
1.76336E+12,35,/roller/roller_j_security_check-338-0,302,Found,User1 2-5,,TRUE,,259,637,7,7,http://172.26.129.146:8080/roller/roller_j_security_check,35,0,0,,,,,,
1.76336E+12,9,/roller/roller_j_security_check-338-1,200,OK,User1 2-5,text,TRUE,,6294,584,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,9,0,0,,,,,,
1.76336E+12,22,/roller/roller-ui/menu.rol-348,200,OK,User1 2-3,text,TRUE,,6284,979,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,,
1.76336E+12,13,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-3,,TRUE,,170,489,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,13,0,0,,,,,,
1.76336E+12,9,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-3,text,TRUE,,6114,490,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,,,,,
1.76336E+12,67,/roller/-332,200,OK,User1 2-6,text,TRUE,,7249,356,7,7,http://172.26.129.146:8080/roller/,67,0,22,,,,,,
1.76336E+12,47,/roller/-357,200,OK,User1 2-1,text,TRUE,,6552,452,7,7,http://172.26.129.146:8080/roller/,47,0,0,,,,,,
1.76336E+12,16,/roller/roller-ui/menu.rol-348,200,OK,User1 2-4,text,TRUE,,6284,979,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,,
1.76336E+12,4,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-4,,TRUE,,170,489,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,4,0,0,,,,,,
1.76336E+12,12,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-4,text,TRUE,,6114,490,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,12,0,0,,,,,,
1.76336E+12,6,/roller/roller-ui/login.rol-340,200,OK,User1 2-5,text,TRUE,,6294,501,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,6,0,0,,,,,,
1.76336E+12,28,/roller/-332,200,OK,User1 2-7,text,TRUE,,7249,356,7,7,http://172.26.129.146:8080/roller/,28,0,9,,,,,,
1.76336E+12,12,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-7,text,TRUE,,6284,951,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,,
1.76336E+12,6,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-7,,TRUE,,170,480,7,7,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,6,0,0,,,,,,
1.76336E+12,5,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-7,text,TRUE,,6114,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,,
1.76336E+12,18,/roller/roller-ui/menu.rol-343,200,OK,User1 2-5,text,TRUE,,6284,1001,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,,
1.76336E+12,3,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-5,,TRUE,,170,500,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,3,0,0,,,,,,
1.76336E+12,15,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-5,text,TRUE,,6114,501,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,15,0,0,,,,,,
1.76336E+12,50,/roller/-353,200,OK,User1 2-3,text,TRUE,,6552,471,7,7,http://172.26.129.146:8080/roller/,50,0,0,,,,,,
