timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,
1.76E+12,8,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-4,,TRUE,,170,500,6,6,http://172.26.129.146:8080/roller/roller-ui/menu.rol,8,0,0,,,,,
1.76E+12,47,/roller/roller-ui/login.rol-340,200,OK,User1 2-2,text,TRUE,,6294,501,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,47,0,0,,,,,
1.76E+12,45,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-4,text,TRUE,,6114,501,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,45,0,0,,,,,
1.76E+12,50,/roller/roller_j_security_check-338,200,OK,User1 2-5,text,TRUE,,6553,1221,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,5,0,0,,,,,
1.76E+12,58,/roller/roller-ui/menu.rol-343,200,OK,User1 2-1,text,TRUE,,6284,1001,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,
1.76E+12,5,/roller/roller_j_security_check-338-0,302,Found,User1 2-5,,TRUE,,259,637,6,6,http://172.26.129.146:8080/roller/roller_j_security_check,5,0,0,,,,,
1.76E+12,5,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-1,,TRUE,,170,500,6,6,http://172.26.129.146:8080/roller/roller-ui/menu.rol,5,0,0,,,,,
1.76E+12,45,/roller/roller_j_security_check-338-1,200,OK,User1 2-5,text,TRUE,,6294,584,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,45,0,0,,,,,
1.76E+12,53,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-1,text,TRUE,,6114,501,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,53,0,0,,,,,
1.76E+12,47,/roller/-332,200,OK,User1 2-6,text,TRUE,,7249,356,6,6,http://172.26.129.146:8080/roller/,47,0,3,,,,,
1.76E+12,16,/roller/roller-ui/login.rol-340,200,OK,User1 2-5,text,TRUE,,6294,501,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,15,0,0,,,,,
1.76E+12,23,/roller/roller-ui/menu.rol-348,200,OK,User1 2-4,text,TRUE,,6284,979,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,16,0,0,,,,,
1.76E+12,16,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-4,,TRUE,,170,489,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,16,0,0,,,,,
1.76E+12,7,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-4,text,TRUE,,6114,490,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,
1.76E+12,25,/roller/roller_j_security_check-338,200,OK,User1 2-3,text,TRUE,,6553,1221,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,15,0,0,,,,,
1.76E+12,15,/roller/roller_j_security_check-338-0,302,Found,User1 2-3,,TRUE,,259,637,7,7,http://172.26.129.146:8080/roller/roller_j_security_check,15,0,0,,,,,
1.76E+12,10,/roller/roller_j_security_check-338-1,200,OK,User1 2-3,text,TRUE,,6294,584,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,10,0,0,,,,,
1.76E+12,17,/roller/-332,200,OK,User1 2-7,text,TRUE,,7249,356,7,7,http://172.26.129.146:8080/roller/,17,0,6,,,,,
