timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,# of messages,,,47855
1.76E+12,8,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-3,text,TRUE,,6114,471,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,,,
1.76E+12,132,/roller/-353,200,OK,User1 2-2,text,TRUE,,6552,471,7,7,http://172.26.129.146:8080/roller/,132,0,0,,,,,
1.76E+12,132,/roller/-357,200,OK,User1 2-1,text,TRUE,,6552,452,7,7,http://172.26.129.146:8080/roller/,132,0,0,,,,,
1.76E+12,131,/roller/-332,200,OK,User1 2-4,text,TRUE,,7249,356,7,7,http://172.26.129.146:8080/roller/,131,0,3,,,,,
1.76E+12,129,/roller/roller_j_security_check-338,200,OK,User1 2-3,text,TRUE,,6553,1221,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,103,0,0,,,,,
1.76E+12,103,/roller/roller_j_security_check-338-0,302,Found,User1 2-3,,TRUE,,259,637,7,7,http://172.26.129.146:8080/roller/roller_j_security_check,103,0,0,,,,,
1.76E+12,26,/roller/roller_j_security_check-338-1,200,OK,User1 2-3,text,TRUE,,6294,584,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,26,0,0,,,,,
1.76E+12,32,/roller/-357,200,OK,User1 2-2,text,TRUE,,6552,452,7,7,http://172.26.129.146:8080/roller/,32,0,0,,,,,
1.76E+12,32,/roller/roller-ui/menu.rol-358,200,OK,User1 2-1,text,TRUE,,6284,941,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,
1.76E+12,13,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-1,,TRUE,,170,470,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,13,0,0,,,,,
1.76E+12,19,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-1,text,TRUE,,6114,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,19,0,0,,,,,
1.76E+12,112,/roller/-332,200,OK,User1 2-6,text,TRUE,,7249,356,8,8,http://172.26.129.146:8080/roller/,112,0,3,,,,,
1.76E+12,29,/roller/roller-ui/login-redirect.rol-363,200,OK,User1 2-1,text,TRUE,,6284,989,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,,,,
1.76E+12,10,/roller/roller-ui/login-redirect.rol-363-0,302,Found,User1 2-1,,TRUE,,170,499,8,8,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,10,0,0,,,,,
1.76E+12,19,/roller/roller-ui/login-redirect.rol-363-1,200,OK,User1 2-1,text,TRUE,,6114,490,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,19,0,0,,,,,
1.76E+12,16,/roller/roller-ui/menu.rol-358,200,OK,User1 2-2,text,TRUE,,6284,941,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,,,,
1.76E+12,10,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-2,,TRUE,,170,470,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,10,0,0,,,,,
1.76E+12,6,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-2,text,TRUE,,6114,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76E+12,42,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-4,text,TRUE,,6284,951,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,
1.76E+12,11,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-4,,TRUE,,170,480,7,7,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,11,0,0,,,,,
1.76E+12,31,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-4,text,TRUE,,6114,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,31,0,0,,,,,
1.76E+12,142,/roller/-332,200,OK,User1 2-5,text,TRUE,,7249,356,7,7,http://172.26.129.146:8080/roller/,142,0,6,,,,,
1.76E+12,43,/roller/-332,200,OK,User1 2-7,text,TRUE,,7249,356,7,7,http://172.26.129.146:8080/roller/,43,0,3,,,,,
1.76E+12,38,/roller/roller-ui/login.rol-340,200,OK,User1 2-3,text,TRUE,,6294,501,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,38,0,0,,,,,
1.76E+12,17,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-7,text,TRUE,,6284,951,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,
1.76E+12,3,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-7,,TRUE,,170,480,8,8,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,3,0,0,,,,,
1.76E+12,17,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-6,text,TRUE,,6284,951,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,
1.76E+12,14,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-7,text,TRUE,,6114,471,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,
1.76E+12,3,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-6,,TRUE,,170,480,8,8,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,3,0,0,,,,,
1.76E+12,14,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-6,text,TRUE,,6114,471,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,
1.76E+12,32,/roller/-410,200,OK,User1 2-1,text,TRUE,,6552,489,9,9,http://172.26.129.146:8080/roller/,32,0,0,,,,,
1.76E+12,32,/roller/roller-ui/menu.rol-343,200,OK,User1 2-3,text,TRUE,,6284,1001,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,
1.76E+12,4,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-3,,TRUE,,170,500,9,9,http://172.26.129.146:8080/roller/roller-ui/menu.rol,4,0,0,,,,,
1.76E+12,27,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-3,text,TRUE,,6114,501,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,27,0,0,,,,,
1.76E+12,32,/roller/roller-ui/login-redirect.rol-363,200,OK,User1 2-2,text,TRUE,,6284,989,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,
1.76E+12,4,/roller/roller-ui/login-redirect.rol-363-0,302,Found,User1 2-2,,TRUE,,170,499,9,9,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,4,0,0,,,,,
1.76E+12,28,/roller/roller-ui/login-redirect.rol-363-1,200,OK,User1 2-2,text,TRUE,,6114,490,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,28,0,0,,,,,
1.76E+12,33,/roller/roller_j_security_check-338,200,OK,User1 2-4,text,TRUE,,6553,1221,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,5,0,0,,,,,
1.76E+12,5,/roller/roller_j_security_check-338-0,302,Found,User1 2-4,,TRUE,,259,637,9,9,http://172.26.129.146:8080/roller/roller_j_security_check,5,0,0,,,,,
1.76E+12,57,/roller/-332,200,OK,User1 2-8,text,TRUE,,7249,356,9,9,http://172.26.129.146:8080/roller/,56,0,8,,,,,
1.76E+12,28,/roller/roller_j_security_check-338-1,200,OK,User1 2-4,text,TRUE,,6294,584,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,28,0,0,,,,,
1.76E+12,33,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-5,text,TRUE,,6284,951,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,
1.76E+12,3,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-5,,TRUE,,170,480,9,9,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,3,0,0,,,,,
1.76E+12,30,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-5,text,TRUE,,6114,471,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,30,0,0,,,,,
1.76E+12,33,/roller/roller_j_security_check-338,200,OK,User1 2-7,text,TRUE,,6553,1221,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,15,0,0,,,,,
1.76E+12,15,/roller/roller_j_security_check-338-0,302,Found,User1 2-7,,TRUE,,259,637,9,9,http://172.26.129.146:8080/roller/roller_j_security_check,15,0,0,,,,,
1.76E+12,18,/roller/roller_j_security_check-338-1,200,OK,User1 2-7,text,TRUE,,6294,584,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,18,0,0,,,,,
1.76E+12,58,/roller/roller-ui/menu.rol-348,200,OK,User1 2-3,text,TRUE,,6284,979,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,
1.76E+12,4,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-3,,TRUE,,170,489,9,9,http://172.26.129.146:8080/roller/roller-ui/menu.rol,4,0,0,,,,,
1.76E+12,54,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-3,text,TRUE,,6114,490,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,15,0,0,,,,,
1.76E+12,72,/roller/roller_j_security_check-338,200,OK,User1 2-6,text,TRUE,,6553,1221,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,15,0,0,,,,,
1.76E+12,57,/roller/roller-ui/login.rol-340,200,OK,User1 2-4,text,TRUE,,6294,501,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,57,0,0,,,,,
1.76E+12,38,/roller/roller-ui/login.rol-340,200,OK,User1 2-7,text,TRUE,,6294,501,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,38,0,0,,,,,
