timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,# of requests,,,,49189
1.76344E+12,29,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-5,text,TRUE,,6284,951,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,18,0,0,,,,,,
1.76344E+12,18,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-5,,TRUE,,170,480,7,7,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,18,0,0,,,,,,
1.76344E+12,11,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-5,text,TRUE,,6114,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,,
1.76344E+12,14,/roller/roller-ui/login-redirect.rol-363,200,OK,User1 2-1,text,TRUE,,6284,989,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,,
1.76344E+12,6,/roller/roller-ui/login-redirect.rol-363-0,302,Found,User1 2-1,,TRUE,,170,499,7,7,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,6,0,0,,,,,,
1.76344E+12,8,/roller/roller-ui/login-redirect.rol-363-1,200,OK,User1 2-1,text,TRUE,,6114,490,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,,,,
1.76344E+12,16,/roller/roller-ui/menu.rol-348,200,OK,User1 2-4,text,TRUE,,6284,979,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,,,,,
1.76344E+12,9,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-4,,TRUE,,170,489,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,9,0,0,,,,,,
1.76344E+12,7,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-4,text,TRUE,,6114,490,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,,
1.76344E+12,129,/roller/-353,200,OK,User1 2-3,text,TRUE,,6552,471,8,10,http://172.26.129.146:8080/roller/,129,0,0,,,,,,
1.76344E+12,111,/roller/-357,200,OK,User1 2-2,text,TRUE,,6552,452,9,11,http://172.26.129.146:8080/roller/,111,0,0,,,,,,
1.76344E+12,129,/roller/-332,200,OK,User1 2-6,text,TRUE,,7249,356,9,11,http://172.26.129.146:8080/roller/,129,0,3,,,,,,
1.76344E+12,120,/roller/roller-ui/menu.rol-358,200,OK,User1 2-2,text,TRUE,,6284,941,11,15,http://172.26.129.146:8080/roller/roller-ui/login.rol,101,0,0,,,,,,
1.76344E+12,101,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-2,,TRUE,,170,470,11,15,http://172.26.129.146:8080/roller/roller-ui/menu.rol,101,0,0,,,,,,
1.76344E+12,19,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-2,text,TRUE,,6114,471,11,15,http://172.26.129.146:8080/roller/roller-ui/login.rol,19,0,0,,,,,,
1.76344E+12,233,/roller/roller_j_security_check-338,200,OK,User1 2-5,text,TRUE,,6553,1221,11,16,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,100,0,0,,,,,,
1.76344E+12,100,/roller/roller_j_security_check-338-0,302,Found,User1 2-5,,TRUE,,259,637,11,16,http://172.26.129.146:8080/roller/roller_j_security_check,100,0,0,,,,,,
1.76344E+12,132,/roller/roller_j_security_check-338-1,200,OK,User1 2-5,text,TRUE,,6294,584,11,16,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,132,0,0,,,,,,
1.76344E+12,137,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-6,text,TRUE,,6284,951,11,16,http://172.26.129.146:8080/roller/roller-ui/login.rol,119,0,0,,,,,,
1.76344E+12,119,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-6,,TRUE,,170,480,11,16,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,119,0,0,,,,,,
1.76344E+12,18,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-6,text,TRUE,,6114,471,11,16,http://172.26.129.146:8080/roller/roller-ui/login.rol,18,0,0,,,,,,
1.76344E+12,24,/roller/roller-ui/login-redirect.rol-363,200,OK,User1 2-2,text,TRUE,,6284,989,11,16,http://172.26.129.146:8080/roller/roller-ui/login.rol,17,0,0,,,,,,
1.76344E+12,17,/roller/roller-ui/login-redirect.rol-363-0,302,Found,User1 2-2,,TRUE,,170,499,11,16,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,17,0,0,,,,,,
1.76344E+12,7,/roller/roller-ui/login-redirect.rol-363-1,200,OK,User1 2-2,text,TRUE,,6114,490,11,16,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,,
1.76344E+12,22,/roller/roller-ui/login.rol-340,200,OK,User1 2-5,text,TRUE,,6294,501,12,17,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,22,0,0,,,,,,
1.76344E+12,37,/roller/roller-ui/menu.rol-343,200,OK,User1 2-5,text,TRUE,,6284,1001,12,18,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,,,,,
1.76344E+12,9,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-5,,TRUE,,170,500,12,18,http://172.26.129.146:8080/roller/roller-ui/menu.rol,9,0,0,,,,,,
1.76344E+12,28,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-5,text,TRUE,,6114,501,12,18,http://172.26.129.146:8080/roller/roller-ui/login.rol,28,0,0,,,,,,
1.76344E+12,12,/roller/roller-ui/menu.rol-348,200,OK,User1 2-5,text,TRUE,,6284,979,13,19,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,,
1.76344E+12,4,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-5,,TRUE,,170,489,13,19,http://172.26.129.146:8080/roller/roller-ui/menu.rol,4,0,0,,,,,,
1.76344E+12,8,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-5,text,TRUE,,6114,490,13,19,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,,,,
1.76344E+12,263,/roller/-627,200,OK,User2 3-3,text,TRUE,,7249,418,8,22,http://172.26.129.146:8080/roller/,263,0,13,,,,,,
1.76344E+12,363,/roller/-627,200,OK,User2 3-1,text,TRUE,,7249,418,8,23,http://172.26.129.146:8080/roller/,363,0,6,,,,,,
1.76344E+12,327,/roller/-627,200,OK,User2 3-2,text,TRUE,,7249,418,8,23,http://172.26.129.146:8080/roller/,327,0,23,,,,,,
1.76344E+12,403,/roller/-410,200,OK,User1 2-1,text,TRUE,,6552,489,15,23,http://172.26.129.146:8080/roller/,403,0,0,,,,,,
1.76344E+12,226,/roller/-627,200,OK,User2 3-4,text,TRUE,,7249,418,8,23,http://172.26.129.146:8080/roller/,226,0,6,,,,,,
1.76344E+12,171,/roller/roller_j_security_check-338,200,OK,User1 2-6,text,TRUE,,6553,1221,15,23,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,137,0,0,,,,,,
1.76344E+12,137,/roller/roller_j_security_check-338-0,302,Found,User1 2-6,,TRUE,,259,637,15,23,http://172.26.129.146:8080/roller/roller_j_security_check,137,0,0,,,,,,
1.76344E+12,34,/roller/roller_j_security_check-338-1,200,OK,User1 2-6,text,TRUE,,6294,584,15,23,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,34,0,0,,,,,,
1.76344E+12,410,/roller/-353,200,OK,User1 2-4,text,TRUE,,6552,471,15,23,http://172.26.129.146:8080/roller/,410,0,0,,,,,,
1.76344E+12,148,/roller/-353,200,OK,User1 2-5,text,TRUE,,6552,471,15,24,http://172.26.129.146:8080/roller/,148,0,0,,,,,,
1.76344E+12,76,/roller/roller-ui/login.rol-340,200,OK,User1 2-6,text,TRUE,,6294,501,16,26,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,76,0,0,,,,,,
1.76344E+12,444,/roller/-357,200,OK,User1 2-3,text,TRUE,,6552,452,17,28,http://172.26.129.146:8080/roller/,444,0,0,,,,,,
1.76344E+12,170,/roller/-627,200,OK,User2 3-8,text,TRUE,,7249,418,11,28,http://172.26.129.146:8080/roller/,170,0,3,,,,,,
1.76344E+12,144,/roller/-332,200,OK,User1 2-15,text,TRUE,,7249,356,17,28,http://172.26.129.146:8080/roller/,144,0,3,,,,,,
1.76344E+12,119,/roller/-627,200,OK,User2 3-9,text,TRUE,,7249,418,11,28,http://172.26.129.146:8080/roller/,119,0,3,,,,,,
1.76344E+12,267,/roller/-627,200,OK,User2 3-6,text,TRUE,,7249,418,11,28,http://172.26.129.146:8080/roller/,267,0,2,,,,,,
1.76344E+12,65,/roller/roller-ui/menu.rol-343,200,OK,User1 2-6,text,TRUE,,6284,1001,18,29,http://172.26.129.146:8080/roller/roller-ui/login.rol,58,0,0,,,,,,
1.76344E+12,58,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-6,,TRUE,,170,500,18,29,http://172.26.129.146:8080/roller/roller-ui/menu.rol,58,0,0,,,,,,
1.76344E+12,7,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-6,text,TRUE,,6114,501,18,29,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,,
1.76344E+12,18,/roller/roller-ui/menu.rol-358,200,OK,User1 2-3,text,TRUE,,6284,941,18,29,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,,
1.76344E+12,4,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-3,,TRUE,,170,470,18,29,http://172.26.129.146:8080/roller/roller-ui/menu.rol,4,0,0,,,,,,
1.76344E+12,14,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-3,text,TRUE,,6114,471,18,29,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,,
1.76344E+12,297,/roller/-332,200,OK,User1 2-13,text,TRUE,,7249,356,18,30,http://172.26.129.146:8080/roller/,297,0,2,,,,,,
1.76344E+12,355,/roller/-410,200,OK,User1 2-2,text,TRUE,,6552,489,18,30,http://172.26.129.146:8080/roller/,355,0,0,,,,,,
1.76344E+12,41,/roller/roller-ui/login-redirect.rol-363,200,OK,User1 2-3,text,TRUE,,6284,989,19,31,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,,
1.76344E+12,13,/roller/roller-ui/login-redirect.rol-363-0,302,Found,User1 2-3,,TRUE,,170,499,19,31,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,13,0,0,,,,,,
1.76344E+12,28,/roller/roller-ui/login-redirect.rol-363-1,200,OK,User1 2-3,text,TRUE,,6114,490,19,31,http://172.26.129.146:8080/roller/roller-ui/login.rol,28,0,0,,,,,,
1.76344E+12,560,/roller/-332,200,OK,User1 2-8,text,TRUE,,7249,356,19,31,http://172.26.129.146:8080/roller/,560,0,11,,,,,,
1.76344E+12,396,/roller/-627,200,OK,User2 3-5,text,TRUE,,7249,418,12,31,http://172.26.129.146:8080/roller/,396,0,12,,,,,,
1.76344E+12,174,/roller/-332,200,OK,User1 2-16,text,TRUE,,7249,356,19,32,http://172.26.129.146:8080/roller/,174,0,28,,,,,,
1.76344E+12,482,/roller/-332,200,OK,User1 2-10,text,TRUE,,7249,356,19,32,http://172.26.129.146:8080/roller/,482,0,18,,,,,,
1.76344E+12,160,/roller/-627,200,OK,User2 3-10,text,TRUE,,7249,418,13,32,http://172.26.129.146:8080/roller/,160,0,35,,,,,,
1.76344E+12,318,/roller/-627,200,OK,User2 3-7,text,TRUE,,7249,418,13,32,http://172.26.129.146:8080/roller/,318,0,3,,,,,,
1.76344E+12,453,/roller/-332,200,OK,User1 2-11,text,TRUE,,7249,356,20,33,http://172.26.129.146:8080/roller/,453,0,4,,,,,,
1.76344E+12,411,/roller/-332,200,OK,User1 2-12,text,TRUE,,7249,356,20,33,http://172.26.129.146:8080/roller/,411,0,2,,,,,,
1.76344E+12,565,/roller/-332,200,OK,User1 2-9,text,TRUE,,7249,356,20,33,http://172.26.129.146:8080/roller/,565,0,3,,,,,,
1.76344E+12,674,/roller/-332,200,OK,User1 2-7,text,TRUE,,7249,356,20,33,http://172.26.129.146:8080/roller/,674,0,2,,,,,,
1.76344E+12,220,/roller/-332,200,OK,User1 2-17,text,TRUE,,7249,356,21,35,http://172.26.129.146:8080/roller/,220,0,44,,,,,,
1.76344E+12,374,/roller/-332,200,OK,User1 2-14,text,TRUE,,7249,356,21,35,http://172.26.129.146:8080/roller/,374,0,6,,,,,,
1.76344E+12,188,/roller/-627,200,OK,User2 3-11,text,TRUE,,7249,418,14,35,http://172.26.129.146:8080/roller/,188,0,8,,,,,,
1.76344E+12,281,/roller/-357,200,OK,User1 2-5,text,TRUE,,6552,452,21,36,http://172.26.129.146:8080/roller/,281,0,0,,,,,,
1.76344E+12,323,/roller/-357,200,OK,User1 2-4,text,TRUE,,6552,452,21,36,http://172.26.129.146:8080/roller/,323,0,0,,,,,,
1.76344E+12,181,/roller/-332,200,OK,User1 2-19,text,TRUE,,7249,356,22,38,http://172.26.129.146:8080/roller/,181,0,2,,,,,,
1.76344E+12,193,/roller/-627,200,OK,User2 3-12,text,TRUE,,7249,418,16,38,http://172.26.129.146:8080/roller/,193,0,2,,,,,,
1.76344E+12,162,/roller/-627,200,OK,User2 3-13,text,TRUE,,7249,418,16,38,http://172.26.129.146:8080/roller/,162,0,2,,,,,,
1.76344E+12,245,/roller/-332,200,OK,User1 2-18,text,TRUE,,7249,356,22,38,http://172.26.129.146:8080/roller/,245,0,2,,,,,,
1.76344E+12,468,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-15,text,TRUE,,6284,951,27,47,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,,
1.76344E+12,5,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-15,,TRUE,,170,480,27,47,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,5,0,0,,,,,,
1.76344E+12,463,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-15,text,TRUE,,6114,471,27,47,http://172.26.129.146:8080/roller/roller-ui/login.rol,463,0,0,,,,,,
1.76344E+12,294,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-17,text,TRUE,,6284,951,27,47,http://172.26.129.146:8080/roller/roller-ui/login.rol,287,0,0,,,,,,
1.76344E+12,287,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-17,,TRUE,,170,480,27,47,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,287,0,0,,,,,,
1.76344E+12,7,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-17,text,TRUE,,6114,471,27,47,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,,
1.76344E+12,427,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-13,text,TRUE,,6284,951,27,47,http://172.26.129.146:8080/roller/roller-ui/login.rol,173,0,0,,,,,,
1.76344E+12,173,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-13,,TRUE,,170,480,27,47,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,173,0,0,,,,,,
1.76344E+12,254,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-13,text,TRUE,,6114,471,27,47,http://172.26.129.146:8080/roller/roller-ui/login.rol,254,0,0,,,,,,
1.76344E+12,372,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-11,text,TRUE,,6284,951,27,47,http://172.26.129.146:8080/roller/roller-ui/login.rol,365,0,0,,,,,,
1.76344E+12,365,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-11,,TRUE,,170,480,27,47,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,365,0,0,,,,,,
1.76344E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-11,text,TRUE,,6114,471,27,47,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,,
