timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.76336E+12,194,/roller/roller-ui/login.rol-340,200,OK,User1 2-1,text,TRUE,,6193,501,16,20,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,194,0,0,,,,
1.76336E+12,192,/roller/roller-ui/login.rol-340,200,OK,User1 2-3,text,TRUE,,6193,501,16,20,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,192,0,0,,,,
1.76336E+12,252,/roller/-332,200,OK,User1 2-11,text,TRUE,,7104,356,16,20,http://172.26.129.146:8080/roller/,251,0,26,,,,
1.76336E+12,201,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-6,text,TRUE,,6183,951,16,21,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,,,
1.76336E+12,9,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-6,,TRUE,,170,480,16,21,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,9,0,0,,,,
1.76336E+12,192,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-6,text,TRUE,,6013,471,16,21,http://172.26.129.146:8080/roller/roller-ui/login.rol,192,0,0,,,,
1.76336E+12,366,/roller/-627,200,OK,User2 3-1,text,TRUE,,7104,418,8,27,http://172.26.129.146:8080/roller/,366,0,6,,,,
1.76336E+12,378,/roller/roller-ui/login.rol-340,200,OK,User1 2-2,text,TRUE,,6193,501,20,28,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,378,0,0,,,,
1.76336E+12,414,/roller/-332,200,OK,User1 2-12,text,TRUE,,7104,356,20,28,http://172.26.129.146:8080/roller/,413,0,30,,,,
1.76336E+12,400,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-5,text,TRUE,,6183,951,21,30,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,
1.76336E+12,3,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-5,,TRUE,,170,480,21,30,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,3,0,0,,,,
1.76336E+12,397,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-5,text,TRUE,,6013,471,21,30,http://172.26.129.146:8080/roller/roller-ui/login.rol,396,0,0,,,,
1.76336E+12,458,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-9,text,TRUE,,6183,951,22,32,http://172.26.129.146:8080/roller/roller-ui/login.rol,108,0,0,,,,
1.76336E+12,108,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-9,,TRUE,,170,480,22,32,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,108,0,0,,,,
1.76336E+12,349,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-9,text,TRUE,,6013,471,22,32,http://172.26.129.146:8080/roller/roller-ui/login.rol,349,0,0,,,,
